country	type	tier	name	HP	front	sides	rear	view	tfront	tsides	trear	reload	clip_count	clip_rate	shell1_type	shell1_pierce	shell1_damage	shell2_type	shell2_pierce	shell2_damage	shell3_type	shell3_pierce	shell3_damage
japan	MT	2	Type 89 I-Go/Chi-Ro	200	17	15	15	320	15	15	15	2.2	-	-	AP	29.6	75	HEAT	55	75	HE	28	95
uk	MT	2	Vickers Medium Mk. II	190	8	8	8	300	8	8	8	2.2	-	-	AP	57	70	AP	72	70	HE	29	95
usa	MT	2	T2 Medium Tank	170	22	22	22	320	25	25	25	2.5	-	-	AP	48	40	APCR	70	40	HE	19	50
usa	MT	2	T2 Medium Tank	170	22	22	22	320	25	25	25	1.6	15	600	AP	30	12	APCR	41	12	-	-	-
usa	MT	2	T2 Medium Tank	170	22	22	22	320	25	25	25	6.8	5	120	AP	39	30	APCR	63	30	HE	19	36
france	SPG	2	Renault FT 75 BS	80	16	16	16	250	-	-	-	6.9	-	-	HE	19	165	-	-	-	-	-	-
germany	SPG	2	G.Pz. Mk. VI (e)	90	22	14	14	250	-	-	-	15.7	-	-	HE	27	410	-	-	-	-	-	-
uk	SPG	2	Loyd Gun Carriage	80	7	7		260	-	-	-	7.5	-	-	HE	21	165	-	-	-	-	-	-
usa	SPG	2	T1 HMC	80	9.5	9.5	9.5	250	-	-	-	4	-	-	HE	19	175	-	-	-	-	-	-
ussr	SPG	2	SU-18	70	16	16	16	260	-	-	-	6.9	-	-	HE	21	180	-	-	-	-	-	-
france	TD	2	Renault FT AC	120	16	16	16	300	-	-	-	2.1	-	-	AP	66	55	APCR	98	55	HE	24	70
germany	TD	2	Panzerjäger I	120	13	13	13	300	-	-	-	2.2	-	-	AP	62	60	APCR	115	60	HE	24	75
germany	TD	2	Panzerjäger I	120	13	13	13	300	-	-	-	1.1	-	-	AP	42	40	APCR	74	40	HE	18	45
sweden	TD	2	Pvlvv fm/42	110	10	8	8	280	-	-	-	2	-	-	AP	55	40	APCR	78	40	HE	19	50
uk	TD	2	Universal Carrier 2-pdr	120	10	7	7	300	-	-	-	2.2	-	-	AP	57	70	AP	72	70	HE	29	95
usa	TD	2	T3 HMC	110	15.9	12.7	6.4	270	-	-	-	2	-	-	AP	64	45	APCR	121	45	HE	23	60
usa	TD	2	T3 HMC	110	15.9	12.7	6.4	270	-	-	-	4.9	-	-	HEAT	91.4	110	HE	38	175	-	-	-
ussr	TD	2	AT-1	125	15	15	15	250	-	-	-	2.5	-	-	AP	75	75	APCR	112	75	HE	29	95
japan	HT	3	Type 91 Heavy	250	20	15	15	330	20	20	20	2.1	-	-	AP	81	70	AP	122	70	HE	25	90
china	LT	3	Type 2597 Chi-Ha	240	25	25	20	330	35	25	25	2.1	-	-	AP	81	70	APCR	130	70	HE	25	90
czech	LT	3	LT vz. 38	220	25	15	15	330	50	30	25	4	-	-	AP	82	40	APCR	115	40	HE	18	45
france	LT	3	AMX 38	220	60	40	40	310	60	40	40	2.2	-	-	AP	45	55	APCR	79	55	HE	24	70
germany	LT	3	Pz.Kpfw. III Ausf. E	240	30	30	20	320	30	30	30	2.5	-	-	AP	60	70	APCR	96	70	HE	25	90
germany	LT	3	Pz.Kpfw. 38 (t)	250	25	15	15	330	50	30	25	2.2	-	-	AP	42	40	APCR	74	40	HE	18	45
germany	LT	3	Pz.Kpfw. 38 (t)	250	25	15	15	330	50	30	25	2.2	-	-	AP	62	60	APCR	115	60	HE	24	75
germany	LT	3	Pz.Kpfw. 38 (t)	250	25	15	15	330	50	30	25	4.3	10	450	AP	39	11	APCR	51	11	-	-	-
germany	LT	3	Pz.Kpfw. II Ausf. G	240	30	20	14.5	330	30	14.5	14.5	1.6	9	300	AP	95	30	APCR	110	30	HE	15	40
germany	LT	3	43 M. Toldi III	230	35	13	10	270	35	25	25	4	-	-	AP	64	45	AP	80	45	HE	20	60
germany	LT	3	Pz.Kpfw. I Ausf. C	210	30	20	14.5	320	14	13	13	4.3	10	450	AP	39	11	APCR	51	11	-	-	-
germany	LT	3	Pz.Kpfw. I Ausf. C	230	30	20	14.5	340	30	14.5	14.5	1.4	40	450	AP	33	8	APCR	43	8	-	-	-
germany	LT	3	Pz.Kpfw. I Ausf. C	230	30	20	14.5	340	30	14.5	14.5	4.3	10	450	AP	39	11	APCR	51	11	-	-	-
germany	LT	3	Pz.Kpfw. T 15	260	30	20	12	350	30	25	25	2.2	-	-	AP	42	40	APCR	74	40	HE	18	45
germany	LT	3	Pz.Kpfw. II Ausf. J	260	80	50	50	320	80	50	50	1.4	-	-	AP	23	11	APCR	46	11	-	-	-
japan	LT	3	Type 98 Ke-Ni	240	16	12	10	310	30	16	16	2.3	-	-	AP	58	50	AP	73	50	HE	19	65
japan	LT	3	Type 98 Ke-Ni	240	16	12	10	310	30	16	16	2.3	-	-	AP	48.1	45	AP	68.7	45	HE	18	60
sweden	LT	3	Strv m/40L	230	48	13	13	320	50	20	35	2	-	-	APCR	78	40	APCR	98	40	HE	19	50
uk	LT	3	Cruiser Mk. II	240	30	22	12	330	30	26	30	7.4	-	-	HEAT	110	280	HE	47	370	-	-	-
uk	LT	3	Cruiser Mk. IV	230	30	14	14	330	30	12	14	1.2	-	-	AP	63	50	APCR	101	50	HE	23	60
uk	LT	3	Cruiser Mk. IV	230	30	14	14	330	30	12	14	1.2	-	-	AP	49	45	APCR	71	45	HE	23	60
uk	LT	3	Stuart I-IV	250	38.1	25.4	25.4	330	38.1	31.8	31.8	2.2	-	-	AP	56	40	APCR	78	40	HE	19	50
uk	LT	3	Stuart I-IV	250	38.1	25.4	25.4	330	38.1	31.8	31.8	2	-	-	AP	64	45	APCR	121	45	HE	23	60
usa	LT	3	M22 Locust	250	25	13	13	330	25	25	25	2.2	-	-	AP	56	40	APCR	78	40	HE	19	50
usa	LT	3	M3 Stuart	240	38.1	25.4	25.4	330	38.1	31.7	31.7	2.2	-	-	AP	56	40	APCR	78	40	HE	19	50
ussr	LT	3	M3 Light	220	38	25	25	280	38	25	25	2.5	-	-	AP	48	40	APCR	70	40	HE	19	50
ussr	LT	3	LTP	230	30	20	30	310	30	30	30	2.2	-	-	AP	51	47	APCR	84	47	HE	23	62
ussr	LT	3	T-70	230	35	15	25	310	35	35	35	2.2	-	-	AP	75	55	APCR	110	55	HE	23	65
ussr	LT	3	T-127	250	40	30	30	320	40	30	30	2.2	-	-	AP	51	47	APCR	84	47	HE	23	62
ussr	LT	3	T-46	250	15	15	15	310	30	15	15	3.6	5	180	AP	46	40	APCR	62	40	HE	19	50
ussr	LT	3	BT-SV	240	25	20	16	280	25	25	25	2.2	-	-	AP	51	47	APCR	84	47	HE	23	62
ussr	LT	3	BT-7	230	20	19	13	300	20	15	15	2.2	-	-	AP	58	40	APCR	92	40	HE	19	50
ussr	LT	3	BT-7 artillery	220	20	19	13	290	15	15	13	4.5	-	-	AP	37	110	HE	38	164	-	-	-
france	MT	3	Somua S35	250	47	40	35	330	40	40	60	2.1	-	-	AP	66	55	APCR	98	55	HE	24	70
france	MT	3	Somua S35	250	47	40	35	330	40	40	60	2.2	-	-	AP	45	55	APCR	79	55	HE	24	70
france	MT	3	D2	230	40	40	40	320	46	46	46	2.1	-	-	AP	66	55	APCR	98	55	HE	24	70
france	MT	3	D2	230	40	40	40	320	46	46	46	2.2	-	-	AP	45	55	APCR	79	55	HE	24	70
germany	MT	3	Pz.Kpfw. IV Ausf. A	270	14.5	14.5	14.5	330	30	14.5	14.5	4.2	-	-	AP	43	110	HEAT	87	110	HE	38	175
germany	MT	3	Pz.Kpfw. S35 739 (f)	260	36	35	25	330	56	46	46	2.1	-	-	AP	55	52	APCR	90	52	HE	24	62
germany	MT	3	Großtraktor - Krupp	320	14	8	8	330	14	8	8	4.2	-	-	AP	43	110	HEAT	87	110	HE	38	175
japan	MT	3	Type 97 Chi-Ha	240	25	25	20	330	35	25	25	2.1	-	-	AP	81	70	AP	122	70	HE	25	90
uk	MT	3	Vickers Medium Mk. III	280	14	9	9	330	14	14	14	2.2	-	-	AP	57	70	AP	72	70	HE	29	95
usa	MT	3	M2 Medium Tank	210	32	18	13	370	38	25	25	2.2	-	-	AP	56	40	APCR	78	40	HE	19	50
usa	MT	3	M2 Medium Tank	210	32	18	13	370	38	25	25	4.1	-	-	HEAT	91.4	110	HE	38	175	-	-	-
france	SPG	3	Lorraine 39L AM	120	20	9	16	260	-	-	-	10.8	-	-	HE	27	410	-	-	-	-	-	-
germany	SPG	3	Wespe	130	30	14.5	14.5	250	-	-	-	13.4	-	-	HE	26	410	-	-	-	-	-	-
germany	SPG	3	Sturmpanzer I Bison	130	13	13	13	245	-	-	-	9.1	-	-	HE	35	400	-	-	-	-	-	-
uk	SPG	3	Sexton II	140	50.8	38.1	38.1	260	-	-	-	15.8	-	-	HE	22	280	-	-	-	-	-	-
uk	SPG	3	Sexton I	140	50.8	31.8	38.1	330	-	-	-	15.8	-	-	AP	71	180	AP	92	180	HE	44	280
usa	SPG	3	T18 HMC	110	50.8	31.8	25.4	250	-	-	-	4.9	-	-	HE	19	175	-	-	-	-	-	-
usa	SPG	3	M7 Priest	140	101.6	38.1	12.7	260	-	-	-	11.4	-	-	HE	27	410	-	-	-	-	-	-
ussr	SPG	3	SU-26	110	15	15	15	260	-	-	-	6	-	-	HE	21	180	-	-	-	-	-	-
france	TD	3	Renault UE 57	150	9	6	6	320	-	-	-	2.2	-	-	AP	110	75	APCR	180	75	-	-	-
france	TD	3	FCM 36 Pak 40	180	40	20	20	400	-	-	-	3.8	-	-	AP	98	110	APCR	126	110	HE	38	175
germany	TD	3	Marder II	165	30	14.5	14.5	310	-	-	-	3.8	-	-	AP	108	110	APCR	154	110	HE	38	175
sweden	TD	3	Ikv 72	150	18.5	7	12	300	-	-	-	5	-	-	AP	97	110	AP	120	110	HE	38	175
sweden	TD	3	Ikv 72	150	18.5	7	12	300	-	-	-	4	-	-	AP	88	110	HEAT	115	110	HE	38	175
uk	TD	3	Valentine AT	170	60	60	60	320	-	-	-	7.4	-	-	HEAT	110	280	HE	47	370	-	-	-
usa	TD	3	T56 GMC	160	38.1	25.4	12.7	290	-	-	-	2.5	-	-	AP	110	75	APCR	180	75	HE	29	95
usa	TD	3	T56 GMC	160	38.1	25.4	12.7	290	-	-	-	3.7	-	-	AP	101	110	APCR	157	110	HE	38	175
ussr	TD	3	SU-76I	160	60	30	50	300	-	-	-	3.7	-	-	AP	86	110	APCR	102	110	HE	38	156
ussr	TD	3	SU-76M	155	25	15	15	290	-	-	-	2.8	-	-	AP	112	85	APCR	189	85	HE	29	95
france	HT	4	B1	430	60	60	55	330	46	46	46	2.1	-	-	AP	66	55	APCR	98	55	HE	24	70
france	HT	4	B1	430	60	60	55	330	46	46	46	2.2	-	-	AP	45	55	APCR	79	55	HE	24	70
germany	HT	4	Pz.Kpfw. B2 740 (f)	400	60	60	55	330	46	46	46	2.1	-	-	AP	55	52	APCR	90	52	HE	24	62
germany	HT	4	Durchbruchswagen 2	440	50	50	50	330	50	50	50	4.2	-	-	AP	43	110	HEAT	87	110	HE	38	175
germany	HT	4	Durchbruchswagen 2	440	50	50	50	330	50	50	50	2.5	-	-	AP	67	70	APCR	130	70	HE	25	90
japan	HT	4	Type 95 Heavy	440	35	30	25	340	30	25	25	4.2	-	-	AP	70.4	110	HEAT	100	110	HE	38	175
china	LT	4	M5A1 Stuart	340	28.6	28.6	25.4	350	44.5	31.8	31.8	2.1	-	-	AP	81	70	APCR	130	70	HE	25	90
france	LT	4	AMX 40	300	70	65	40	340	80	60	60	4.2	-	-	AP	74	110	HEAT	91.4	110	HE	38	175
germany	LT	4	Pz.Kpfw. II Luchs	340	30	20	20	360	50	30	30	1.6	9	300	AP	95	30	APCR	110	30	HE	15	40
japan	LT	4	Type 5 Ke-Ho	340	20	16	12	340	30	20	16	2.1	-	-	AP	81	70	AP	122	70	HE	25	90
japan	LT	4	Type 5 Ke-Ho	340	20	16	12	340	30	20	16	2.2	-	-	AP	87	75	AP	131	75	HE	29	100
uk	LT	4	Covenanter	340	40	30	25	340	39	19.5	25	1.2	-	-	AP	63	50	APCR	101	50	HE	23	60
uk	LT	4	Covenanter	340	40	30	25	340	39	19.5	25	2	-	-	AP	78	50	APCR	121	50	HE	23	60
uk	LT	4	Covenanter	340	40	30	25	340	39	19.5	25	1.2	-	-	AP	49	45	APCR	71	45	HE	23	60
uk	LT	4	Covenanter	340	40	30	25	340	39	19.5	25	4.1	-	-	HEAT	100	110	HE	38	175	-	-	-
uk	LT	4	Valentine	340	60	60	60	340	65	60	65	3.8	-	-	AP	91	110	APCR	144	110	HE	38	175
uk	LT	4	Valentine	340	60	60	60	340	65	60	65	2.2	-	-	AP	110	75	APCR	180	75	HE	30	100
usa	LT	4	M5 Stuart	340	28.6	28.6	25.4	360	44.5	31.8	31.8	2.2	-	-	AP	56	40	APCR	78	40	HE	19	50
ussr	LT	4	T-80	350	35	25	25	330	35	35	35	3.6	5	180	AP	46	40	APCR	62	40	HE	19	50
ussr	LT	4	Valentine II	380	60	60	60	350	65	65	65	2.2	-	-	AP	51	47	APCR	84	47	HE	23	62
ussr	LT	4	A-20	340	20	20	16	330	37	37	25	3.6	5	180	AP	46	40	APCR	62	40	HE	19	50
czech	MT	4	ST vz. 39	350	32	25	20	340	60	40	30	4	-	-	AP	86	60	APCR	132	60	HE	24	75
czech	MT	4	ST vz. 39	350	32	25	20	340	60	40	30	4	-	-	AP	62	60	APCR	115	60	HE	24	75
france	MT	4	SARL 42	350	40	30	30	330	40	30	30	4.2	-	-	AP	100	110	APCR	129	110	HE	38	175
germany	MT	4	VK 20.01 (D)	350	50	40	30	330	57	30	30	4.2	-	-	AP	43	110	HEAT	87	110	HE	38	175
germany	MT	4	VK 20.01 (D)	350	50	40	30	330	57	30	30	2.5	-	-	AP	67	70	APCR	130	70	HE	25	90
germany	MT	4	Pz.Kpfw. III Ausf. J	350	50	30	50	330	30	30	30	4.2	-	-	AP	43	110	HEAT	87	110	HE	38	175
germany	MT	4	Pz.Kpfw. III Ausf. J	350	50	30	50	330	30	30	30	2.5	-	-	AP	67	70	APCR	130	70	HE	25	90
germany	MT	4	Pz.Kpfw. IV Ausf. D	350	30	20	20	340	30	20	20	4.2	-	-	AP	103	110	APCR	139	110	HE	38	175
germany	MT	4	Pz.Kpfw. IV Ausf. D	350	30	20	20	340	30	20	20	4.2	-	-	AP	43	110	HEAT	87	110	HE	38	175
germany	MT	4	Pz.Kpfw. IV Ausf. D	350	30	20	20	340	30	20	20	2.5	-	-	AP	67	70	APCR	130	70	HE	25	90
japan	MT	4	Type 1 Chi-He	350	50	25	20	340	50	35	25	2.1	-	-	AP	81	70	AP	122	70	HE	25	90
japan	MT	4	Type 1 Chi-He	350	50	25	20	340	50	35	25	2.2	-	-	AP	87	75	AP	131	75	HE	29	100
japan	MT	4	Type 1 Chi-He	350	50	25	20	340	50	35	25	4.2	-	-	AP	70.4	110	HEAT	100	110	HE	38	175
sweden	MT	4	Lago	350	34	34	24	330	34	28	20	2	-	-	AP	91	75	APCR	138	75	HE	29	100
sweden	MT	4	Lago	350	34	34	24	330	34	28	20	4	-	-	AP	62	60	AP	78	60	HE	24	75
sweden	MT	4	Lago	350	34	34	24	330	34	28	20	4	-	-	AP	88	110	HEAT	115	110	HE	38	175
uk	MT	4	Matilda	370	75	70	55	340	75	75	75	1.2	-	-	AP	121	55	APCR	145	55	-	-	-
uk	MT	4	Matilda	370	75	70	55	340	75	75	75	2	-	-	AP	78	50	APCR	121	50	HE	23	60
uk	MT	4	Matilda	370	75	70	55	340	75	75	75	4.1	-	-	HEAT	100	110	HE	38	175	-	-	-
uk	MT	4	AC 1 Sentinel	370	65	45	45	350	65	65	65	4	-	-	AP	88	45	APCR	121	45	HE	23	60
uk	MT	4	Grant	320	50.8	38.1	38.1	325	50.8			2.2	-	-	AP	105	75	APCR	170	75	HE	30	100
uk	MT	4	Grant	320	50.8	38.1	38.1	325	50.8			3.8	-	-	AP	90	110	AP	102	110	HE	38	175
uk	MT	4	Grant	320	50.8	38.1	38.1	325	50.8			3.8	-	-	AP	92	110	AP	109	110	HE	38	175
usa	MT	4	M3 Lee	310	50.8	38.1	38.1	320	-	-	-	3.8	-	-	AP	90	110	APCR	125	110	HE	38	175
usa	MT	4	M3 Lee	310	50.8	38.1	38.1	320	-	-	-	3.8	-	-	AP	92	110	APCR	127	110	HE	38	175
ussr	MT	4	T-28E with F-30	380	50	40	50	350	50	40	40	5.1	-	-	AP	120	160	APCR	161	160	HE	43	280
ussr	MT	4	A-32	360	35	30	16	320	35	35	35	4.5	-	-	AP	66	110	AP	98	110	HE	38	164
ussr	MT	4	T-28	350	30	20	20	340	25	25	25	2.8	-	-	AP	112	85	APCR	189	85	HE	29	95
france	SPG	4	AMX 105 AM mle. 47	170	30	20	15	260	-	-	-	10.2	-	-	HE	30	445	-	-	-	-	-	-
germany	SPG	4	Sturmpanzer II	190	30	14.5	14.5	255	-	-	-	9.1	-	-	HE	35	400	-	-	-	-	-	-
germany	SPG	4	Pz.Sfl. IVb	200	20	14.5	14.5	255	-	-	-	13.4	-	-	HE	26	410	-	-	-	-	-	-
uk	SPG	4	Birch Gun	190	6	6	6	265	-	-	-	15.8	-	-	HE	22	280	-	-	-	-	-	-
usa	SPG	4	T82 HMC	130	28.6	28.6	25.4	255	-	-	-	13.1	-	-	HE	27	410	-	-	-	-	-	-
usa	SPG	4	M37	180	12.7	12.7	12.7	260	-	-	-	13.1	-	-	HE	27	410	-	-	-	-	-	-
ussr	SPG	4	SU-5	160	15	15	15	250	-	-	-	9.1	-	-	HE	35	400	-	-	-	-	-	-
france	TD	4	Somua SAu 40	280	36	35	35	330	-	-	-	4.2	-	-	AP	100	110	APCR	129	110	HE	38	175
france	TD	4	Somua SAu 40	280	36	35	35	330	-	-	-	10.8	-	-	HEAT	104	350	HE	53	410	-	-	-
germany	TD	4	Jagdpanzer 38(t) Hetzer	270	60	20	8	260	-	-	-	7.2	-	-	AP	64	350	HEAT	104	350	HE	53	410
germany	TD	4	Jagdpanzer 38(t) Hetzer	270	60	20	8	260	-	-	-	3.8	-	-	AP	110	110	APCR	158	110	HE	38	175
germany	TD	4	StuG III Ausf. B	260	50	30	30	310	-	-	-	7.2	-	-	AP	64	350	HEAT	104	350	HE	53	410
germany	TD	4	StuG III Ausf. B	260	50	30	30	310	-	-	-	3.8	-	-	AP	110	110	APCR	158	110	HE	38	175
germany	TD	4	Marder 38T	270	50	15	15	320	-	-	-	3.8	-	-	AP	108	110	APCR	154	110	HE	38	175
germany	TD	4	Marder 38T	270	50	15	15	320	-	-	-	3.8	-	-	AP	108	110	APCR	154	110	HE	38	175
sweden	TD	4	Sav m/43	270	50	15	15	310	-	-	-	8	-	-	AP	65	350	HEAT	110	350	HE	53	370
uk	TD	4	Alecto	270	10	10	10	330	-	-	-	7.4	-	-	HEAT	110	280	HE	47	370	-	-	-
uk	TD	4	Alecto	270	10	10	10	330	-	-	-	15.8	-	-	AP	71	180	AP	92	180	HE	44	280
usa	TD	4	M8A1	265	28.6	28.6	25.4	320	-	-	-	2.5	-	-	AP	110	75	APCR	180	75	HE	29	95
usa	TD	4	M8A1	265	28.6	28.6	25.4	320	-	-	-	3.7	-	-	AP	101	110	APCR	157	110	HE	38	175
usa	TD	4	T40	275	51	38	38	310	-	-	-	3.4	-	-	AP	128	115	APCR	177	115	HE	38	185
ussr	TD	4	SU-85B	260	25	15	15	310	-	-	-	2.8	-	-	AP	112	85	APCR	189	85	HE	29	95
ussr	TD	4	SU-85B	260	25	15	15	310	-	-	-	4.4	-	-	AP	130	160	APCR	170	160	HE	44	280
ussr	TD	4	SU-85B	260	25	15	15	310	-	-	-	4.4	-	-	AP	119	160	APCR	161	160	HE	43	280
france	HT	5	BDR G1 B	650	60	40	60	320	80	70	60	7.4	-	-	AP	135	240	APCR	175	240	HE	45	320
germany	HT	5	VK 30.01 (H)	660	50	50	50	360	80	60	60	5.1	-	-	AP	157	135	APCR	221	135	-	-	-
japan	HT	5	O-I Experimental	700	75	70	70	360	75	75	75	9.7	-	-	AP	130	300	AP	150	300	HE	53	360
uk	HT	5	Excelsior	670	114.3	31.75	108	350	114.3	92.1	92.1	3.8	-	-	AP	91	110	APCR	144	110	HE	38	175
uk	HT	5	Churchill I	700	177.8	63.5	50.8	350	88.9	88.9	76.2	4	-	-	AP	145	135	APCR	202	135	HE	38	175
usa	HT	5	T14	690	50.8	50.8	50.8	330	101.6	101	101	3.8	-	-	AP	92	110	APCR	127	110	HE	38	175
usa	HT	5	T1 Heavy Tank	660	95.3	52.4	46	330	101.6	82.6	82.6	4.2	-	-	AP	128	115	APCR	177	115	HE	38	185
